Year,Country,Spending_USD,Life_Expectancy,Exp_K,Category,Cumulative_Expenditure,CumAvg_Life_Expectancy,Exp_Percent_Change,LifeExp_Difference,Exp_Rank,Rolling_3yr_Exp
2000,Great Britain,1897.202,77.9,1.897202,Medium,19276.78,75.3695652173913,12.666807212995979,0.4000000000000057,5.0,1717.7346666666665
2000,Japan,1847.786,81.2,1.8477860000000002,High,26299.147,77.28709677419356,10.783717703825491,0.7000000000000028,6.0,1695.6050000000002
2000,USA,4536.561,76.7,4.536561,Medium,62345.032999999996,74.35483870967742,6.442169349760052,0.0,1.0,4286.697666666667
2001,Canada,2624.293,79.3,2.624293,Medium,38253.281,76.888,7.088080313622069,0.20000000000000284,4.0,2451.0466666666666
2001,Germany,3009.368,78.5,3.009368,Medium,44139.507,74.53548387096774,3.931400540073282,0.29999999999999716,2.0,2867.5929999999994
2001,France,2875.294,79.3,2.875294,Medium,27278.555,77.075,6.986489453140976,0.09999999999999432,3.0,2664.7090000000003
2001,Great Britain,2067.167,78.2,2.067167,Medium,21343.947,75.4875,8.958719208602982,0.29999999999999716,5.0,1882.7579999999998
2001,Japan,1945.556,81.5,1.945556,High,28244.703,77.41875,5.291197140794446,0.29999999999999716,6.0,1820.4213333333335
2001,USA,4888.518,76.9,4.888518,Medium,67233.551,74.434375,7.7582336047063105,0.20000000000000284,1.0,4562.358333333334
2002,Canada,2758.065,79.5,2.758065,Medium,41011.346,76.98846153846154,5.097449103434704,0.20000000000000284,4.0,2610.983666666667
2002,Germany,3239.77,78.5,3.23977,Medium,47379.277,74.659375,7.65615903405632,0.0,2.0,3048.2236666666668
2002,France,3152.016,79.4,3.152016,Medium,30430.571,77.21176470588235,9.62412887169104,0.10000000000000853,3.0,2904.9466666666667
2002,Great Britain,2287.476,78.3,2.2874760000000003,Medium,23631.423,75.6,10.657532748926446,0.09999999999999432,5.0,2083.9483333333333
2002,Japan,2065.133,81.8,2.065133,High,30309.836,77.55151515151515,6.146160788998101,0.29999999999999716,6.0,1952.825
2002,USA,5316.522,77.0,5.316522,Medium,72550.073,74.51212121212122,8.755291480976446,0.09999999999999432,1.0,4913.867
2003,Canada,2914.206,79.6,2.914206,Medium,43925.551999999996,77.0851851851852,5.6612516383769185,0.09999999999999432,4.0,2765.5213333333336
2003,Germany,3329.374,78.6,3.3293739999999996,Medium,50708.651,74.77878787878787,2.765751889794643,0.09999999999999432,2.0,3192.8373333333334
2003,France,3056.265,79.3,3.056265,Medium,33486.835999999996,77.32777777777778,-3.0377701128420753,-0.10000000000000853,3.0,3027.858333333333
2003,Great Britain,2469.159,78.4,2.4691590000000003,Medium,26100.582000000002,75.70769230769231,7.942509560756039,0.10000000000000853,5.0,2274.6006666666667
2003,Japan,2194.437,81.8,2.1944369999999997,High,32504.273,77.67647058823529,6.261291645622835,0.0,6.0,2068.3753333333334
2003,USA,5726.538,77.1,5.726538,Medium,78276.611,74.58823529411765,7.7121095332625345,0.09999999999999432,1.0,5310.526000000001
2004,Canada,3122.396,79.9,3.122396,Medium,47047.948,77.18571428571428,7.143969918392878,0.30000000000001137,4.0,2931.555666666667
2004,Germany,3391.521,79.2,3.391521,Medium,54100.172,74.90882352941176,1.8666271797641354,0.6000000000000085,2.0,3320.221666666667
2004,France,3170.947,80.3,3.170947,High,36657.782999999996,77.48421052631579,3.7523578616383224,1.0,3.0,3126.409333333333
2004,Great Britain,2724.869,79.0,2.724869,Medium,28825.451,75.82962962962964,10.356157703898372,0.5999999999999943,5.0,2493.834666666667
2004,Japan,2303.68,82.1,2.30368,High,34807.953,77.80285714285714,4.9781789133158005,0.29999999999999716,6.0,2187.7499999999995
2004,USA,6069.53,77.6,6.069529999999999,Medium,84346.141,74.67428571428572,5.989517575889658,0.5,1.0,5704.196666666667
2005,Canada,3291.912,80.0,3.291912,Medium,50339.86,77.28275862068965,5.4290359070406025,0.09999999999999432,3.0,3109.504666666667
2005,Germany,3429.955,79.4,3.429955,Medium,57530.127,75.03714285714287,1.1332378599454351,0.20000000000000284,2.0,3383.6166666666663
2005,France,3264.574,80.4,3.264574,High,39922.356999999996,77.63,2.952651053455013,0.10000000000000853,4.0,3163.9286666666667
2005,Great Britain,2731.445,79.2,2.7314450000000003,Medium,31556.896,75.95,0.24133270259965034,0.20000000000000284,5.0,2641.8243333333335
2005,Japan,2471.186,82.0,2.4711860000000003,High,37279.139,77.91944444444444,7.271235588276159,-0.09999999999999432,6.0,2323.101
2005,USA,6430.757,77.6,6.430757,Medium,90776.898,74.75555555555555,5.951482239975747,0.0,1.0,6075.608333333333
2006,Canada,3486.621,80.4,3.486621,High,53826.481,77.38666666666667,5.914769289094002,0.4000000000000057,3.0,3300.3096666666665
2006,Germany,3567.061,79.8,3.5670610000000003,Medium,61097.188,75.16944444444444,3.997311918086388,0.3999999999999915,2.0,3462.8456666666666
2006,France,3444.855,81.0,3.444855,High,43367.212,77.79047619047618,5.522343803510044,0.5999999999999943,4.0,3293.458666666667
2006,Great Britain,2952.329,79.5,2.952329,Medium,34509.225,76.07241379310345,8.086708683499033,0.29999999999999716,5.0,2802.881
2006,Japan,2561.219,82.4,2.561219,High,39840.358,78.04054054054055,3.643311349287348,0.4000000000000057,6.0,2445.361666666667
2006,USA,6808.054,77.8,6.808054,Medium,97584.952,74.83783783783784,5.867069771101607,0.20000000000000284,1.0,6436.113666666667
2007,Canada,3709.615,80.5,3.709615,High,57536.096,77.48709677419355,6.395705182754297,0.09999999999999432,3.0,3496.049333333333
2007,Germany,3750.787,80.1,3.750787,High,64847.975,75.3027027027027,5.150626804531777,0.29999999999999716,2.0,3582.601
2007,France,3588.227,81.2,3.588227,High,46955.439,77.94545454545454,4.161916829590795,0.20000000000000284,4.0,3432.552
2007,Great Britain,3021.671,79.7,3.021671,Medium,37530.896,76.19333333333334,2.348721975091528,0.20000000000000284,5.0,2901.815
2007,Japan,2689.916,82.6,2.689916,High,42530.274,78.16052631578947,5.024833877930779,0.19999999999998863,6.0,2574.107
2007,USA,7166.513,78.1,7.166513,Medium,104751.465,74.92368421052632,5.265219694203371,0.29999999999999716,1.0,6801.774666666667
2008,Canada,3849.544,80.7,3.849544,High,61385.64,77.5875,3.7720625994880796,0.20000000000000284,3.0,3681.9266666666667
2008,Germany,3955.136,80.2,3.955136,High,68803.111,75.43157894736842,5.448163278799889,0.10000000000000853,2.0,3757.6613333333335
2008,France,3729.353,81.4,3.729353,High,50684.792,78.09565217391305,3.9330287632304284,0.20000000000000284,4.0,3587.478333333333
2008,Great Britain,3207.853,79.8,3.207853,Medium,40738.749,76.30967741935484,6.161557628212999,0.09999999999999432,5.0,3060.617666666667
2008,Japan,2799.198,82.7,2.799198,High,45329.472,78.27692307692308,4.062654744609118,0.10000000000000853,6.0,2683.4443333333334
2008,USA,7385.026,78.1,7.385026,Medium,112136.491,75.0051282051282,3.049083982684464,0.0,1.0,7119.864333333334
2009,Canada,3945.873,80.9,3.945873,High,65331.513,77.68787878787879,2.5023483300879334,0.20000000000000284,3.0,3835.0106666666666
2009,Germany,4158.266,80.3,4.158265999999999,High,72961.37700000001,75.55641025641025,5.13585373549732,0.09999999999999432,2.0,3954.7296666666666
2009,France,3880.842,81.5,3.880842,High,54565.634,78.2375,4.062071892899377,0.09999999999999432,4.0,3732.8073333333336
2009,Great Britain,3334.506,80.4,3.3345059999999997,High,44073.255,76.4375,3.9482170785257287,0.6000000000000085,5.0,3188.0099999999998
2009,Japan,2971.377,83.0,2.971377,High,48300.849,78.39500000000001,6.1510118255300394,0.29999999999999716,6.0,2820.163666666667
2009,USA,7645.002,78.5,7.645002000000001,Medium,119781.493,75.0925,3.5203125892854015,0.4000000000000057,1.0,7398.847000000001
2010,Canada,4155.529,81.2,4.1555290000000005,High,69487.042,77.79117647058824,5.313298223232232,0.29999999999999716,3.0,3983.6486666666665
2010,Germany,4423.07,80.5,4.42307,High,77384.447,75.67999999999999,6.36813517942334,0.20000000000000284,2.0,4178.824
2010,France,4045.065,81.8,4.045065,High,58610.699,78.38,4.231633238353938,0.29999999999999716,4.0,3885.0866666666666
